id,scenario,distribution,sample_size,data_type,replicate,obs_type,parameter,mean,median,q2.5,q5,q20,q35,q65,q80,q95,q97.5
1,early outbreak,long,10,outbreak,1,,meanlog,3.8,3.1,1.3,1.5,2,2.5,3.8,5,8.7,11
2,early outbreak,medium,10,outbreak,1,,meanlog,2.1,1.5,0.72,0.82,1.1,1.3,1.8,2.7,5.5,7.9
3,early outbreak,short,10,outbreak,1,,meanlog,2.4,1.9,1,1.1,1.4,1.6,2.3,3.1,5,6.6
4,late outbreak,long,10,outbreak,1,,meanlog,2,1.8,1.3,1.3,1.6,1.7,1.9,2.1,2.7,3.5
5,late outbreak,medium,10,outbreak,1,,meanlog,2.1,1.9,1.2,1.3,1.6,1.8,2.1,2.4,3.9,4.9
6,late outbreak,short,10,outbreak,1,,meanlog,1.2,1.2,0.8,0.89,1.1,1.2,1.3,1.4,1.5,1.6
7,near peak,long,10,outbreak,1,,meanlog,2.3,1.8,0.16,0.5,1.1,1.5,2.4,3.3,5.6,7.1
8,near peak,medium,10,outbreak,1,,meanlog,2.2,1.8,1.3,1.4,1.6,1.7,2,2.5,4.6,5.6
9,near peak,short,10,outbreak,1,,meanlog,1.2,1.2,0.95,0.99,1.1,1.1,1.2,1.3,1.4,1.4
10,past peak,long,10,outbreak,1,,meanlog,3.2,2.5,1.3,1.4,1.9,2.2,3,3.9,6.4,8.6
11,past peak,medium,10,outbreak,1,,meanlog,2,1.7,0.87,1,1.3,1.5,1.9,2.3,4,5.1
12,past peak,short,10,outbreak,1,,meanlog,1.3,1.2,0.66,0.77,0.99,1.1,1.3,1.5,2.1,2.9
13,early outbreak,long,100,outbreak,1,,meanlog,1.5,1.5,1.3,1.3,1.4,1.5,1.6,1.6,1.8,1.9
14,early outbreak,medium,100,outbreak,1,,meanlog,1.3,1.3,1.2,1.2,1.3,1.3,1.3,1.4,1.4,1.4
15,early outbreak,short,100,outbreak,1,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.3
16,late outbreak,long,100,outbreak,1,,meanlog,1.8,1.8,1.6,1.7,1.7,1.8,1.9,1.9,2,2
17,late outbreak,medium,100,outbreak,1,,meanlog,1.7,1.7,1.6,1.6,1.6,1.7,1.7,1.7,1.8,1.8
18,late outbreak,short,100,outbreak,1,,meanlog,1.2,1.2,1.1,1.2,1.2,1.2,1.3,1.3,1.3,1.3
19,near peak,long,100,outbreak,1,,meanlog,1.7,1.7,1.5,1.5,1.6,1.7,1.8,1.9,2.1,2.2
20,near peak,medium,100,outbreak,1,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.6,1.7,1.7,1.8
21,near peak,short,100,outbreak,1,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.3
22,past peak,long,100,outbreak,1,,meanlog,1.8,1.8,1.6,1.6,1.7,1.7,1.8,1.9,1.9,2
23,past peak,medium,100,outbreak,1,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.7,1.7,1.7,1.8
24,past peak,short,100,outbreak,1,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.3,1.3
25,early outbreak,long,200,outbreak,1,,meanlog,1.8,1.8,1.5,1.6,1.7,1.7,1.8,1.9,2.2,2.3
26,early outbreak,medium,200,outbreak,1,,meanlog,1.4,1.4,1.3,1.3,1.4,1.4,1.5,1.5,1.6,1.6
27,early outbreak,short,200,outbreak,1,,meanlog,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2
28,late outbreak,long,200,outbreak,1,,meanlog,1.7,1.7,1.5,1.6,1.6,1.7,1.7,1.7,1.8,1.8
29,late outbreak,medium,200,outbreak,1,,meanlog,1.7,1.7,1.6,1.6,1.6,1.6,1.7,1.7,1.7,1.7
30,late outbreak,short,200,outbreak,1,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.3
31,near peak,long,200,outbreak,1,,meanlog,1.9,1.9,1.7,1.8,1.8,1.9,2,2,2.1,2.2
32,near peak,medium,200,outbreak,1,,meanlog,1.7,1.7,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.9
33,near peak,short,200,outbreak,1,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2
34,past peak,long,200,outbreak,1,,meanlog,1.8,1.8,1.7,1.7,1.7,1.7,1.8,1.8,1.9,1.9
35,past peak,medium,200,outbreak,1,,meanlog,1.7,1.7,1.6,1.6,1.6,1.7,1.7,1.7,1.8,1.8
36,past peak,short,200,outbreak,1,,meanlog,1.2,1.2,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2
37,early outbreak,long,400,outbreak,1,,meanlog,1.8,1.7,1.6,1.6,1.7,1.7,1.8,1.9,2,2
38,early outbreak,medium,400,outbreak,1,,meanlog,1.4,1.4,1.3,1.4,1.4,1.4,1.4,1.4,1.5,1.5
39,early outbreak,short,400,outbreak,1,,meanlog,1.2,1.2,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2
40,late outbreak,long,400,outbreak,1,,meanlog,1.8,1.8,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.9
41,late outbreak,medium,400,outbreak,1,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.6,1.6,1.7,1.7
