id,scenario,distribution,sample_size,data_type,replicate,obs_type,parameter,mean,median,q2.5,q5,q20,q35,q65,q80,q95,q97.5
1,early outbreak,long,10,outbreak,1,,meanlog,1.4,1.4,-6.1,-4.3,-1.3,0.24,2.4,3.7,7.8,9.5
2,early outbreak,medium,10,outbreak,1,,meanlog,-0.26,-0.69,-5.2,-3.9,-2.4,-2.2,0.75,1.9,5.1,6.6
3,early outbreak,short,10,outbreak,1,,meanlog,1,1.2,-6,-4,-1,0.35,1.8,2.9,5.8,7.5
4,late outbreak,long,10,outbreak,1,,meanlog,0.7,1.3,-6.3,-4.3,-1.2,0.23,1.7,2.1,4.7,6.9
5,late outbreak,medium,10,outbreak,1,,meanlog,0.32,0.74,-6.6,-4.8,-1.6,-0.27,1.6,2.3,4.4,5.5
6,late outbreak,short,10,outbreak,1,,meanlog,0.23,0.83,-5,-3.1,-0.69,0.31,1.1,1.3,1.6,2.4
7,near peak,long,10,outbreak,1,,meanlog,-1.3,-1.6,-7.3,-5.5,-3.6,-3.6,-0.13,1.2,4,5.1
8,near peak,medium,10,outbreak,1,,meanlog,1.4,1.7,-5.2,-3.2,-0.12,1.3,2,2.8,5.1,6.6
9,near peak,short,10,outbreak,1,,meanlog,1.1,1.2,-0.092,0.81,1.1,1.1,1.2,1.3,1.4,1.5
10,past peak,long,10,outbreak,1,,meanlog,0.4,0.47,-5.7,-4.4,-1.8,-0.54,1.5,2.5,5,6.5
11,past peak,medium,10,outbreak,1,,meanlog,0.19,0.32,-8,-5.4,-2.1,-0.7,1.1,2.1,5.3,7.9
12,past peak,short,10,outbreak,1,,meanlog,-0.13,0.16,-6.9,-5.4,-2,-0.74,0.88,1.6,4.3,6
13,early outbreak,long,100,outbreak,1,,meanlog,2.4,1.9,0.93,1.3,1.5,1.7,2.3,3.1,5.5,7
14,early outbreak,medium,100,outbreak,1,,meanlog,1.3,1.3,1.2,1.2,1.3,1.3,1.4,1.4,1.5,1.5
15,early outbreak,short,100,outbreak,1,,meanlog,1.2,1.2,1,1.1,1.1,1.2,1.2,1.3,1.4,1.5
16,late outbreak,long,100,outbreak,1,,meanlog,1.8,1.8,1.5,1.6,1.7,1.7,1.8,1.9,2,2
17,late outbreak,medium,100,outbreak,1,,meanlog,1.7,1.7,1.6,1.6,1.6,1.6,1.7,1.7,1.8,1.8
18,late outbreak,short,100,outbreak,1,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.3
19,near peak,long,100,outbreak,1,,meanlog,2,1.8,-0.46,1.2,1.6,1.7,1.9,2.2,3.9,4.9
20,near peak,medium,100,outbreak,1,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.6,1.7,1.8,1.8
21,near peak,short,100,outbreak,1,,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.3,1.3
22,past peak,long,100,outbreak,1,,meanlog,1.8,1.8,1.6,1.6,1.7,1.7,1.8,1.8,1.9,2
23,past peak,medium,100,outbreak,1,,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.7,1.7,1.7,1.8
24,past peak,short,100,outbreak,1,,meanlog,1.2,1.2,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.3
25,early outbreak,long,200,outbreak,1,,meanlog,2.1,2,1.6,1.6,1.8,1.9,2.2,2.4,3.1,3.5
26,early outbreak,medium,200,outbreak,1,,meanlog,1.6,1.5,1.4,1.4,1.5,1.5,1.6,1.7,1.9,2
27,early outbreak,short,200,outbreak,1,,meanlog,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2
28,late outbreak,long,200,outbreak,1,,meanlog,1.6,1.6,1.4,1.4,1.5,1.5,1.6,1.7,1.7,1.7
29,late outbreak,medium,200,outbreak,1,,meanlog,1.6,1.6,1.5,1.6,1.6,1.6,1.7,1.7,1.7,1.7
