scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time
early outbreak,long,10,outbreak,1,1,,4000,1.02,0,0,6,2,5e-04,0.4
early outbreak,medium,10,outbreak,2,1,,4000,1.03,1728,0.432,7,2,5e-04,0.7
early outbreak,short,10,outbreak,3,1,,4000,1.03,2399,0.59975,8,4,0.001,0.9
late outbreak,long,10,outbreak,4,1,,4000,1,0,0,5,1,0.00025,0.3
late outbreak,medium,10,outbreak,5,1,,4000,1,364,0.091,5,286,0.0715,0.4
late outbreak,short,10,outbreak,6,1,,4000,1.01,2275,0.56875,6,2,5e-04,1
near peak,long,10,outbreak,7,1,,4000,1.02,0,0,7,2,5e-04,0.4
near peak,medium,10,outbreak,8,1,,4000,1,5,0.00125,6,3,0.00075,0.4
near peak,short,10,outbreak,9,1,,4000,1,875,0.21875,7,151,0.03775,0.9
past peak,long,10,outbreak,10,1,,4000,1.01,0,0,6,1,0.00025,0.4
past peak,medium,10,outbreak,11,1,,4000,1.01,0,0,4,90,0.0225,0.3
past peak,short,10,outbreak,12,1,,4000,1.01,0,0,6,2,5e-04,0.4
early outbreak,long,100,outbreak,13,1,,4000,1.01,0,0,5,42,0.0105,1.3
early outbreak,medium,100,outbreak,14,1,,4000,1,0,0,4,164,0.041,1
early outbreak,short,100,outbreak,15,1,,4000,1,160,0.04,4,28,0.007,1
late outbreak,long,100,outbreak,16,1,,4000,1,0,0,3,1557,0.38925,0.8
late outbreak,medium,100,outbreak,17,1,,4000,1,0,0,3,1590,0.3975,0.9
late outbreak,short,100,outbreak,18,1,,4000,1,0,0,3,1416,0.354,0.8
near peak,long,100,outbreak,19,1,,4000,1,0,0,4,88,0.022,0.9
near peak,medium,100,outbreak,20,1,,4000,1,0,0,4,4,0.001,0.9
near peak,short,100,outbreak,21,1,,4000,1,0,0,3,1633,0.40825,0.9
past peak,long,100,outbreak,22,1,,4000,1,0,0,4,48,0.012,0.9
past peak,medium,100,outbreak,23,1,,4000,1,0,0,3,1696,0.424,0.9
