scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time
early outbreak,long,10,outbreak,1,1,,4000,1.01,3,0.00075,7,1,0.00025,0.3
early outbreak,medium,10,outbreak,2,1,,4000,1.01,1,0.00025,6,8,0.002,0.4
early outbreak,short,10,outbreak,3,1,,4000,1,1,0.00025,5,41,0.01025,0.3
late outbreak,long,10,outbreak,4,1,,4000,1.02,0,0,7,3,0.00075,0.3
late outbreak,medium,10,outbreak,5,1,,4000,1.01,0,0,5,1,0.00025,0.3
late outbreak,short,10,outbreak,6,1,,4000,1,5,0.00125,4,22,0.0055,0.2
near peak,long,10,outbreak,7,1,,4000,1.01,0,0,6,9,0.00225,0.3
near peak,medium,10,outbreak,8,1,,4000,1.01,8,0.002,5,68,0.017,0.3
near peak,short,10,outbreak,9,1,,4000,1.01,2027,0.50675,7,9,0.00225,0.7
past peak,long,10,outbreak,10,1,,4000,1,0,0,6,12,0.003,0.3
past peak,medium,10,outbreak,11,1,,4000,1.01,0,0,5,21,0.00525,0.3
past peak,short,10,outbreak,12,1,,4000,1.01,0,0,5,1,0.00025,0.2
early outbreak,long,100,outbreak,13,1,,4000,1,0,0,4,146,0.0365,1
early outbreak,medium,100,outbreak,14,1,,4000,1,0,0,3,1533,0.38325,0.8
early outbreak,short,100,outbreak,15,1,,4000,1,0,0,4,56,0.014,0.8
late outbreak,long,100,outbreak,16,1,,4000,1,0,0,3,1484,0.371,0.8
late outbreak,medium,100,outbreak,17,1,,4000,1,0,0,3,1625,0.40625,0.9
late outbreak,short,100,outbreak,18,1,,4000,1,0,0,3,1551,0.38775,0.9
near peak,long,100,outbreak,19,1,,4000,1,0,0,5,1,0.00025,1
near peak,medium,100,outbreak,20,1,,4000,1,0,0,4,7,0.00175,0.9
near peak,short,100,outbreak,21,1,,4000,1,0,0,3,1560,0.39,0.9
past peak,long,100,outbreak,22,1,,4000,1,0,0,3,1354,0.3385,0.8
past peak,medium,100,outbreak,23,1,,4000,1,0,0,3,1700,0.425,0.8
past peak,short,100,outbreak,24,1,,4000,1,0,0,3,1472,0.368,0.9
early outbreak,long,200,outbreak,25,1,,4000,1,0,0,5,12,0.003,2
early outbreak,medium,200,outbreak,26,1,,4000,1.01,0,0,4,104,0.026,2.4
early outbreak,short,200,outbreak,27,1,,4000,1,0,0,3,1764,0.441,1.5
late outbreak,long,200,outbreak,28,1,,4000,1,0,0,3,1594,0.3985,1.4
late outbreak,medium,200,outbreak,29,1,,4000,1,0,0,3,1461,0.36525,1.5
late outbreak,short,200,outbreak,30,1,,4000,1,0,0,3,1530,0.3825,1.4
near peak,long,200,outbreak,31,1,,4000,1,0,0,4,197,0.04925,1.6
near peak,medium,200,outbreak,32,1,,4000,1,0,0,4,45,0.01125,1.5
near peak,short,200,outbreak,33,1,,4000,1,0,0,3,1516,0.379,1.5
past peak,long,200,outbreak,34,1,,4000,1,0,0,3,1448,0.362,1.5
past peak,medium,200,outbreak,35,1,,4000,1,0,0,3,1600,0.4,1.5
past peak,short,200,outbreak,36,1,,4000,1,0,0,3,1284,0.321,1.5
early outbreak,long,400,outbreak,37,1,,4000,1,0,0,5,9,0.00225,3.6
early outbreak,medium,400,outbreak,38,1,,4000,1,0,0,4,65,0.01625,2.9
early outbreak,short,400,outbreak,39,1,,4000,1,0,0,3,1525,0.38125,2.6
late outbreak,long,400,outbreak,40,1,,4000,1,0,0,3,1558,0.3895,2.6
late outbreak,medium,400,outbreak,41,1,,4000,1,0,0,3,1625,0.40625,2.7
late outbreak,short,400,outbreak,42,1,,4000,1,0,0,3,1403,0.35075,2.6
near peak,long,400,outbreak,43,1,,4000,1,0,0,4,180,0.045,2.9
near peak,medium,400,outbreak,44,1,,4000,1,0,0,3,1518,0.3795,2.7
near peak,short,400,outbreak,45,1,,4000,1,0,0,3,1613,0.40325,2.7
past peak,long,400,outbreak,46,1,,4000,1,0,0,3,1344,0.336,2.6
past peak,medium,400,outbreak,47,1,,4000,1,0,0,3,1672,0.418,2.7
past peak,short,400,outbreak,48,1,,4000,1,0,0,3,1667,0.41675,2.8
decay,long,200,exponential,49,1,,4000,1,0,0,4,6,0.0015,1.5
decay,long,200,exponential,50,2,,4000,1,0,0,4,4,0.001,1.4
